,tweet_id_str,date_time,location,tweet_text
0,1529612798241959943,2022-05-25 23:58:04,Kenya,"Water melon for Ksh18.00 @ kg in Bura tana. Dm for more details 
Order : https://t.co/XEGd1wZQ1u
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/blgLOHO8kU"
1,1529611602487611393,2022-05-25 23:53:19,Kenya,"Dennis Itumbi abduction - Angry Rigathi Gachagua reacts 🔥 !   https://t.co/1KBNIsgkss
#Gachagua
#BREAKING NEWS"
2,1529611298098618368,2022-05-25 23:52:06,Ethiopia,The Amhara regional state government has engaged in ethnic cleansing campaign against the Wollo Oromos. @USEmbassyAddis @amnestyusa @hrw @StateDept @SFRCdems @CNN @BBCWorld @FRANCE24 @Reuters #OromoVoice #StopWarOnOromia
3,1529610866014007296,2022-05-25 23:50:23,Kenya,"LIVE | DP William Ruto in Mombasa https://t.co/SMpA2Z98Vc

../
#Gachagua
#BREAKING NEWS"
4,1529610794933305345,2022-05-25 23:50:06,Kenya,"pigs for Ksh6,000.00 @ piglet in Nakuru. high quality healthy breed.
Order : https://t.co/eac5rsAHq9
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/fwYyzWIFCk"
5,1529609819895783424,2022-05-25 23:46:14,"Nairobi, Kenya",MAKAU MUTUA blasts RIGATHI GACHAGUA for saying SAFARICOM Company should be sold and the money given to Mama Mbogas   https://t.co/KsYTQpRH5z
6,1529609511404818433,2022-05-25 23:45:00,Ethiopia,‘Amhara security forces launched a campaign to destroy evidence of ethnic cleansing in Western Tigray’ @BBC reports. https://t.co/53WdR8ghCe @amnestyusa @hrw @StateDept @SFRCdems @CNN @BBCWorld @FRANCE24 @Reuters #OromoVoice #StopWarOnOromia
7,1529608861711220736,2022-05-25 23:42:26,Kenya,"Hatupangwingwi!!You can Jail all of Us!!Angry MP Rigathi Gachagua tells ... https://t.co/9PFqmQwqQa
#Gachagua
#BREAKING NEWS"
8,1529608761476026368,2022-05-25 23:42:02,Kenya,"Pure Raw Honey for Ksh600.00 @ Kg in Voi Town. 500gms at 300 and 300gms at 200
Order : https://t.co/bD5it9p1UH
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/tG6eyK2vc7"
9,1529607253304610816,2022-05-25 23:36:02,Kenya,"Red Cabbages for Ksh60.00 @ Per Cabbage in Nairobi. 
Order : https://t.co/n6S5NvMzqf
Use App : https://t.co/L7r2SzlhJl
AD: https://t.co/DdPensXZNk https://t.co/H0PQIR5y37"
10,1529606750932189184,2022-05-25 23:34:02,Kenya,"Kuroiler  Chiks for Ksh280.00 @ Per Chick in Nairobi. 2 months old
Order : https://t.co/euX4leYIIu
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/7Go9k9E7e1"
11,1529606339244310528,2022-05-25 23:32:24,Kenya,Odinga is set to hold several campaigns to water down Kenya Kwanza's influence. https://t.co/MLChwMZe5K
12,1529606246340661248,2022-05-25 23:32:02,Kenya,"Cow for Ksh65,000.00 @ Whole in Kakamega. 
Order : https://t.co/wUEbSJFggs
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/0RiW8nvpcC"
13,1529604240007888897,2022-05-25 23:24:04,Kenya,"Baringo Honey for Ksh700.00 @ kg in Baringo. Organic pure Lowland honey 
Order : https://t.co/XZojT3R8zV
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/rd7kxqUHcT"
14,1529604200489009153,2022-05-25 23:23:54,Kenya,Kingi said it will be unconstitutional for a deputy president to hold a cabinet secretary position. https://t.co/9S9ym0dvzL
15,1529603726952247296,2022-05-25 23:22:01,Kenya,"onions for Ksh40.00 @ per kg in nairobi. 
Order : https://t.co/YVSw3AtUuh
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/IOSjCQqbMJ"
16,1529603229322948608,2022-05-25 23:20:03,Kenya,"Managu / African Nightshade for Ksh30.00 @ Per Kg in Nairobi. Fresh from the farm direct to you. Call 0722216949 or 0782216949
Order : https://t.co/IdyxHd3bZO
Use App : https://t.co/L7r2SzlhJl
AD: https://t.co/DdPensXZNk https://t.co/TNwAJPrYVr"
17,1529602722437410816,2022-05-25 23:18:02,Kenya,"Fencing Poles for Ksh350.00 @ Pole in Kajiado. Fencing posts available,treated , none treated. 7feet @350 9feet @ , 11 feet
Order : https://t.co/ceZnfRiIqE
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/7vTROJRqRs"
18,1529602230495907840,2022-05-25 23:16:05,Kenya,"zucchini for Ksh10.00 @ normal sizw in kiambu. they are organically grown
Order : https://t.co/oAF324Whrc
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/KRMR7aCSQ1"
19,1529600712182988800,2022-05-25 23:10:03,Kenya,"Beans for Ksh7,000.00 @ Bag in Njoro/Nakuru. Very clean beans. Call anytime. 
Order : https://t.co/gLpZVbRd19
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/6mC7TmLzbL"
20,1529600551272468482,2022-05-25 23:09:24,Oman,Support Orphan’s Education - Shape A Life https://t.co/pDtbjyHi5D
21,1529600467558404096,2022-05-25 23:09:04,Oman,"""Offload Your Interest (Riba) for a good cause and get rid of it"" https://t.co/0OnzfgpPGh"
22,1529600401992994816,2022-05-25 23:08:49,Oman,Support https://t.co/HyPx6C7oHv Operations to reach next level and expand their base to help the Needy https://t.co/GQMZRvS6TM
23,1529600209243996162,2022-05-25 23:08:03,Kenya,"cabbage for Ksh30.00 @ per head in embu. 
Order : https://t.co/sNUd38mAzc
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/m4sbIgILt7"
24,1529599791419858945,2022-05-25 23:06:23,"Nairobi, Kenya",WETANGULA claims RAILA ODINGA has been given 20 cars and a chopper by UHURU’s government for campaigns as he defends DIDMUS BARASA   https://t.co/gxKUM6bQUY
25,1529599705482936320,2022-05-25 23:06:03,Kenya,"Eggs Incubator for Ksh12,500.00 @ Per Equipment in Nairobi. 60 eggs AC/DC incubators
Order : https://t.co/fxQRoqjbpV
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/boBLTZhOS0"
26,1529599286085812231,2022-05-25 23:04:23,Kenya,"We are very happy': Mathira residents celebrate Rigathi Gachagua's sele... !   https://t.co/9DQV76FcGu
#Gachagua
#BREAKING NEWS"
27,1529599201679908866,2022-05-25 23:04:02,Kenya,"Eggs for Ksh300.00 @ Per Tray in Trans Nzoia. 
Order : https://t.co/KTLjLh2it6
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/k4hDQMfltf"
28,1529598697184837632,2022-05-25 23:02:02,Kenya,"Black butter for Ksh7,500.00 @ 90kgs in Nairobi. Good quality beans
Order : https://t.co/QdoY1aIwhM
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/i7a2hECxmb"
29,1529598335522332672,2022-05-25 23:00:36,Kenya,"RIGATHI GACHAGUA ROARS IN MURANGA PROVING HE IS EQUAL TO RUNNING MATE TASK. https://t.co/AfipkMXsnh
#Gachagua
#BREAKING NEWS"
30,1529597982156509186,2022-05-25 22:59:12,Oman,Support us to provide Silai machines for training below poverty line ladies https://t.co/iGVEpTR2Qx
31,1529597787952009216,2022-05-25 22:58:25,Oman,Muscular dystrophy - Help a poor brother with wheelchair and for treatment https://t.co/X6ljqdnlfG
32,1529596685680508928,2022-05-25 22:54:03,Kenya,"Pure Canola Oil for Ksh850.00 @ Per Litre in Zimmerman. 
Order : https://t.co/HYzbCEbFew
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/sW7ojOAA3k"
33,1529595754918076424,2022-05-25 22:50:21,Kenya,"UDA Party Primaries: Rigathi Gachagua gives intricate details about the ... !   https://t.co/FyCUcc0qLr
#Gachagua
#BREAKING NEWS"
34,1529595678225485824,2022-05-25 22:50:02,Kenya,"Coriander for Ksh140.00 @ kg in Nairobi. price negotiable if collected
Order : https://t.co/k1VsUH89by
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/bljoLcSDu4"
35,1529594678097899520,2022-05-25 22:46:04,Kenya,"Kienyeji Chicken for Ksh800.00 @ Bird in Nairobi. Quality Premium Meat
Order : https://t.co/NiFukn0RJT
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/TK3Nfhl6Hk"
36,1529594194813407232,2022-05-25 22:44:09,Kenya,"cabbages for Ksh20.00 @ per head in meru. ready to harvest
Order : https://t.co/izfEY3dQJz
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/EklmJIH4Qj"
37,1529594105944227840,2022-05-25 22:43:47,"Nairobi, Kenya",A rare PHOTO of RUTO’s twin-engine airbus – He should explain the source of his wealth. https://t.co/a9p7trRe7o
38,1529593737265000451,2022-05-25 22:42:20,Kenya,"RIGATHI GACHAGUA CHEERED IN ELDORET AS HE DELIVER MOVING SPEECH.🔥🔥 https://t.co/12NFmk6BCM

^^^
#Gachagua
#BREAKING NEWS"
39,1529593668327591937,2022-05-25 22:42:03,Kenya,"Chicken for Ksh900.00 @ per hen in Sagana. Clearance Sale, Farm is located along Nyeri-Nairobi Highway
Order : https://t.co/0l1PuxIhap
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/DXAWgBuI48"
40,1529593171671662592,2022-05-25 22:40:05,Kenya,"Cabbage for Ksh30.00 @ per head in Nakuru. Organically grown, very tasty and fresh and ready to go
Order : https://t.co/qaLnn0NEe5
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/ZbHTnFFaZG"
41,1529592654765649920,2022-05-25 22:38:02,Kenya,"Red and White Onions for Ksh70.00 @ kg in Nairobi Kitengela. 
Order : https://t.co/deEeQ6CUk7
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/a6LSaKMQj3"
