,tweet_id_str,date_time,location,tweet_text
0,1529612798241959943,2022-05-25 23:58:04,Kenya,"Water melon for Ksh18.00 @ kg in Bura tana. Dm for more details 
Order : https://t.co/XEGd1wZQ1u
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/blgLOHO8kU"
1,1529612784828305408,2022-05-25 23:58:01,n/a,"true democracy is practised in china, people have more choices, food to feed its people. a gov't that passes practical, common sense measures. people first, economy second. local elections that put in place people who know how to lead and uplift society chosen by people"
2,1529611298098618368,2022-05-25 23:52:06,Ethiopia,The Amhara regional state government has engaged in ethnic cleansing campaign against the Wollo Oromos. @USEmbassyAddis @amnestyusa @hrw @StateDept @SFRCdems @CNN @BBCWorld @FRANCE24 @Reuters #OromoVoice #StopWarOnOromia
3,1529610794933305345,2022-05-25 23:50:06,Kenya,"pigs for Ksh6,000.00 @ piglet in Nakuru. high quality healthy breed.
Order : https://t.co/eac5rsAHq9
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/fwYyzWIFCk"
4,1529610067187752962,2022-05-25 23:47:13,"Malawi, Uganda",Americans bullying or poverty is NOT a justification for a Guy shooting 19 children this is just pure EVIL.
5,1529609511404818433,2022-05-25 23:45:00,Ethiopia,‘Amhara security forces launched a campaign to destroy evidence of ethnic cleansing in Western Tigray’ @BBC reports. https://t.co/53WdR8ghCe @amnestyusa @hrw @StateDept @SFRCdems @CNN @BBCWorld @FRANCE24 @Reuters #OromoVoice #StopWarOnOromia
6,1529608761476026368,2022-05-25 23:42:02,Kenya,"Pure Raw Honey for Ksh600.00 @ Kg in Voi Town. 500gms at 300 and 300gms at 200
Order : https://t.co/bD5it9p1UH
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/tG6eyK2vc7"
7,1529607253304610816,2022-05-25 23:36:02,Kenya,"Red Cabbages for Ksh60.00 @ Per Cabbage in Nairobi. 
Order : https://t.co/n6S5NvMzqf
Use App : https://t.co/L7r2SzlhJl
AD: https://t.co/DdPensXZNk https://t.co/H0PQIR5y37"
8,1529606750932189184,2022-05-25 23:34:02,Kenya,"Kuroiler  Chiks for Ksh280.00 @ Per Chick in Nairobi. 2 months old
Order : https://t.co/euX4leYIIu
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/7Go9k9E7e1"
9,1529606246340661248,2022-05-25 23:32:02,Kenya,"Cow for Ksh65,000.00 @ Whole in Kakamega. 
Order : https://t.co/wUEbSJFggs
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/0RiW8nvpcC"
10,1529604240007888897,2022-05-25 23:24:04,Kenya,"Baringo Honey for Ksh700.00 @ kg in Baringo. Organic pure Lowland honey 
Order : https://t.co/XZojT3R8zV
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/rd7kxqUHcT"
11,1529603726952247296,2022-05-25 23:22:01,Kenya,"onions for Ksh40.00 @ per kg in nairobi. 
Order : https://t.co/YVSw3AtUuh
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/IOSjCQqbMJ"
12,1529603229322948608,2022-05-25 23:20:03,Kenya,"Managu / African Nightshade for Ksh30.00 @ Per Kg in Nairobi. Fresh from the farm direct to you. Call 0722216949 or 0782216949
Order : https://t.co/IdyxHd3bZO
Use App : https://t.co/L7r2SzlhJl
AD: https://t.co/DdPensXZNk https://t.co/TNwAJPrYVr"
13,1529602722437410816,2022-05-25 23:18:02,Kenya,"Fencing Poles for Ksh350.00 @ Pole in Kajiado. Fencing posts available,treated , none treated. 7feet @350 9feet @ , 11 feet
Order : https://t.co/ceZnfRiIqE
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/7vTROJRqRs"
14,1529602230495907840,2022-05-25 23:16:05,Kenya,"zucchini for Ksh10.00 @ normal sizw in kiambu. they are organically grown
Order : https://t.co/oAF324Whrc
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/KRMR7aCSQ1"
15,1529600833922519041,2022-05-25 23:10:32,"Kampala, Uganda",Do you people still crave with this economy 😲? Kyosanga kyolya 🫣 https://t.co/RQDp3hjmzp
16,1529600712182988800,2022-05-25 23:10:03,Kenya,"Beans for Ksh7,000.00 @ Bag in Njoro/Nakuru. Very clean beans. Call anytime. 
Order : https://t.co/gLpZVbRd19
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/6mC7TmLzbL"
17,1529600551272468482,2022-05-25 23:09:24,Oman,Support Orphan’s Education - Shape A Life https://t.co/pDtbjyHi5D
18,1529600467558404096,2022-05-25 23:09:04,Oman,"""Offload Your Interest (Riba) for a good cause and get rid of it"" https://t.co/0OnzfgpPGh"
19,1529600401992994816,2022-05-25 23:08:49,Oman,Support https://t.co/HyPx6C7oHv Operations to reach next level and expand their base to help the Needy https://t.co/GQMZRvS6TM
20,1529600209243996162,2022-05-25 23:08:03,Kenya,"cabbage for Ksh30.00 @ per head in embu. 
Order : https://t.co/sNUd38mAzc
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/m4sbIgILt7"
21,1529599705482936320,2022-05-25 23:06:03,Kenya,"Eggs Incubator for Ksh12,500.00 @ Per Equipment in Nairobi. 60 eggs AC/DC incubators
Order : https://t.co/fxQRoqjbpV
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/boBLTZhOS0"
22,1529599201679908866,2022-05-25 23:04:02,Kenya,"Eggs for Ksh300.00 @ Per Tray in Trans Nzoia. 
Order : https://t.co/KTLjLh2it6
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/k4hDQMfltf"
23,1529598697184837632,2022-05-25 23:02:02,Kenya,"Black butter for Ksh7,500.00 @ 90kgs in Nairobi. Good quality beans
Order : https://t.co/QdoY1aIwhM
Use App : https://t.co/L7r2Sz4eHl
AD: https://t.co/DdPensGWLk https://t.co/i7a2hECxmb"
24,1529597982156509186,2022-05-25 22:59:12,Oman,Support us to provide Silai machines for training below poverty line ladies https://t.co/iGVEpTR2Qx
